date,open,high,low,close,volume,ticker
2020-01-02,3244.669921875,3258.139892578125,3235.530029296875,3257.85009765625,3459930000,^GSPC
2020-01-03,3226.360107421875,3246.14990234375,3222.340087890625,3234.85009765625,3484700000,^GSPC
2020-01-06,3217.550048828125,3246.840087890625,3214.639892578125,3246.280029296875,3702460000,^GSPC
2020-01-07,3241.860107421875,3244.909912109375,3232.429931640625,3237.179931640625,3435910000,^GSPC
2020-01-08,3238.590087890625,3267.070068359375,3236.669921875,3253.050048828125,3726840000,^GSPC
2020-01-09,3266.030029296875,3275.580078125,3263.669921875,3274.699951171875,3641230000,^GSPC
2020-01-10,3281.81005859375,3282.989990234375,3260.860107421875,3265.35009765625,3214580000,^GSPC
2020-01-13,3271.1298828125,3288.1298828125,3268.429931640625,3288.1298828125,3459390000,^GSPC
2020-01-14,3285.35009765625,3294.25,3277.18994140625,3283.14990234375,3687620000,^GSPC
2020-01-15,3282.27001953125,3298.659912109375,3280.68994140625,3289.2900390625,3721490000,^GSPC
2020-01-16,3302.969970703125,3317.110107421875,3302.820068359375,3316.81005859375,3540580000,^GSPC
2020-01-17,3323.659912109375,3329.8798828125,3318.860107421875,3329.6201171875,3726220000,^GSPC
2020-01-21,3321.030029296875,3329.7900390625,3316.610107421875,3320.7900390625,4104840000,^GSPC
2020-01-22,3330.02001953125,3337.77001953125,3320.0400390625,3321.75,3623780000,^GSPC
2020-01-23,3315.77001953125,3326.8798828125,3301.8701171875,3325.5400390625,3766710000,^GSPC
2020-01-24,3333.10009765625,3333.179931640625,3281.530029296875,3295.469970703125,3708780000,^GSPC
2020-01-27,3247.159912109375,3258.85009765625,3234.5,3243.6298828125,3831050000,^GSPC
2020-01-28,3255.35009765625,3285.780029296875,3253.219970703125,3276.239990234375,3531570000,^GSPC
2020-01-29,3289.4599609375,3293.469970703125,3271.889892578125,3273.39990234375,3600250000,^GSPC
2020-01-30,3256.449951171875,3285.909912109375,3242.800048828125,3283.659912109375,3790350000,^GSPC
2020-01-31,3282.330078125,3282.330078125,3214.679931640625,3225.52001953125,4529700000,^GSPC
2020-02-03,3235.659912109375,3268.43994140625,3235.659912109375,3248.919921875,3760460000,^GSPC
2020-02-04,3280.610107421875,3306.919921875,3280.610107421875,3297.590087890625,3996900000,^GSPC
2020-02-05,3324.909912109375,3337.580078125,3313.75,3334.68994140625,4121480000,^GSPC
2020-02-06,3344.919921875,3347.9599609375,3334.389892578125,3345.780029296875,3887250000,^GSPC
2020-02-07,3335.5400390625,3341.419921875,3322.1201171875,3327.7099609375,3733920000,^GSPC
2020-02-10,3318.280029296875,3352.260009765625,3317.77001953125,3352.090087890625,3462730000,^GSPC
2020-02-11,3365.8701171875,3375.6298828125,3352.719970703125,3357.75,3762940000,^GSPC
2020-02-12,3370.5,3381.469970703125,3369.719970703125,3379.449951171875,3930910000,^GSPC
2020-02-13,3365.89990234375,3385.090087890625,3360.52001953125,3373.93994140625,3500890000,^GSPC
2020-02-14,3378.080078125,3380.68994140625,3366.14990234375,3380.159912109375,3419700000,^GSPC
2020-02-18,3369.0400390625,3375.010009765625,3355.610107421875,3370.2900390625,3750400000,^GSPC
2020-02-19,3380.389892578125,3393.52001953125,3378.830078125,3386.14990234375,3614200000,^GSPC
2020-02-20,3380.449951171875,3389.14990234375,3341.02001953125,3373.22998046875,4019180000,^GSPC
2020-02-21,3360.5,3360.760009765625,3328.449951171875,3337.75,3908780000,^GSPC
2020-02-24,3257.610107421875,3259.81005859375,3214.64990234375,3225.889892578125,4851160000,^GSPC
2020-02-25,3238.93994140625,3246.989990234375,3118.77001953125,3128.2099609375,5596760000,^GSPC
2020-02-26,3139.89990234375,3182.510009765625,3108.989990234375,3116.389892578125,5484650000,^GSPC
2020-02-27,3062.5400390625,3097.070068359375,2977.389892578125,2978.760009765625,7064710000,^GSPC
2020-02-28,2916.89990234375,2959.719970703125,2855.840087890625,2954.219970703125,8569570000,^GSPC
2020-03-02,2974.280029296875,3090.9599609375,2945.18994140625,3090.22998046875,6381330000,^GSPC
2020-03-03,3096.4599609375,3136.719970703125,2976.6298828125,3003.3701171875,6376510000,^GSPC
2020-03-04,3045.75,3130.969970703125,3034.3798828125,3130.1201171875,5073020000,^GSPC
2020-03-05,3075.699951171875,3083.0400390625,2999.830078125,3023.93994140625,5579290000,^GSPC
2020-03-06,2954.199951171875,2985.929931640625,2901.5400390625,2972.3701171875,6555240000,^GSPC
